Context,ID,RU (Original),EN,ES,TR,AR
Square (Rat Race),RR_SQ_0_NAME,Opportunity,,,,
Square (Rat Race),RR_SQ_0_DESC,Возможность: Малая или Крупная сделка.,,,,
Square (Rat Race),RR_SQ_1_NAME,Doodad,,,,
Square (Rat Race),RR_SQ_1_DESC,Трата: Ненужные расходы.,,,,
Square (Rat Race),RR_SQ_2_NAME,Opportunity,,,,
Square (Rat Race),RR_SQ_2_DESC,Возможность: Малая или Крупная сделка.,,,,
Square (Rat Race),RR_SQ_3_NAME,Charity,,,,
Square (Rat Race),RR_SQ_3_DESC,Благотворительность: Пожертвуйте 10% дохода для ускорения.,,,,
Square (Rat Race),RR_SQ_4_NAME,Opportunity,,,,
Square (Rat Race),RR_SQ_4_DESC,Возможность: Малая или Крупная сделка.,,,,
Square (Rat Race),RR_SQ_5_NAME,Payday,,,,
Square (Rat Race),RR_SQ_5_DESC,Деньги: Получите ваш месячный денежный поток.,,,,
Square (Rat Race),RR_SQ_6_NAME,Opportunity,,,,
Square (Rat Race),RR_SQ_6_DESC,Возможность: Малая или Крупная сделка.,,,,
Square (Rat Race),RR_SQ_7_NAME,Market,,,,
Square (Rat Race),RR_SQ_7_DESC,Рынок: Возможность продать активы.,,,,
Square (Rat Race),RR_SQ_8_NAME,Opportunity,,,,
Square (Rat Race),RR_SQ_8_DESC,Возможность: Малая или Крупная сделка.,,,,
Square (Rat Race),RR_SQ_9_NAME,Doodad,,,,
Square (Rat Race),RR_SQ_9_DESC,Трата: Ненужные расходы.,,,,
Square (Rat Race),RR_SQ_10_NAME,Opportunity,,,,
Square (Rat Race),RR_SQ_10_DESC,Возможность: Малая или Крупная сделка.,,,,
Square (Rat Race),RR_SQ_11_NAME,Baby,,,,
Square (Rat Race),RR_SQ_11_DESC,Ребенок: Новые расходы и радость в семье.,,,,
Square (Rat Race),RR_SQ_12_NAME,Opportunity,,,,
Square (Rat Race),RR_SQ_12_DESC,Возможность: Малая или Крупная сделка.,,,,
Square (Rat Race),RR_SQ_13_NAME,Payday,,,,
Square (Rat Race),RR_SQ_13_DESC,Деньги: Получите ваш месячный денежный поток.,,,,
Square (Rat Race),RR_SQ_14_NAME,Opportunity,,,,
Square (Rat Race),RR_SQ_14_DESC,Возможность: Малая или Крупная сделка.,,,,
Square (Rat Race),RR_SQ_15_NAME,Market,,,,
Square (Rat Race),RR_SQ_15_DESC,Рынок: Возможность продать активы.,,,,
Square (Rat Race),RR_SQ_16_NAME,Opportunity,,,,
Square (Rat Race),RR_SQ_16_DESC,Возможность: Малая или Крупная сделка.,,,,
Square (Rat Race),RR_SQ_17_NAME,Doodad,,,,
Square (Rat Race),RR_SQ_17_DESC,Трата: Ненужные расходы.,,,,
Square (Rat Race),RR_SQ_18_NAME,Opportunity,,,,
Square (Rat Race),RR_SQ_18_DESC,Возможность: Малая или Крупная сделка.,,,,
Square (Rat Race),RR_SQ_19_NAME,Sick,,,,
Square (Rat Race),RR_SQ_19_DESC,Заболел: Пропуск 2 ходов и оплата расходов.,,,,
Square (Rat Race),RR_SQ_20_NAME,Opportunity,,,,
Square (Rat Race),RR_SQ_20_DESC,Возможность: Малая или Крупная сделка.,,,,
Square (Rat Race),RR_SQ_21_NAME,Payday,,,,
Square (Rat Race),RR_SQ_21_DESC,Деньги: Получите ваш месячный денежный поток.,,,,
Square (Rat Race),RR_SQ_22_NAME,Opportunity,,,,
Square (Rat Race),RR_SQ_22_DESC,Возможность: Малая или Крупная сделка.,,,,
Square (Rat Race),RR_SQ_23_NAME,Market,,,,
Square (Rat Race),RR_SQ_23_DESC,Рынок: Возможность продать активы.,,,,
Square (Fast Track),FT_SQ_24_NAME,CASHFLOW Day,,,,
Square (Fast Track),FT_SQ_24_DESC,Вам выплачивается доход от ваших инвестиций,,,,
Square (Fast Track),FT_SQ_25_NAME,Дом мечты,,,,
Square (Fast Track),FT_SQ_25_DESC,Построить дом мечты для семьи,,,,
Square (Fast Track),FT_SQ_26_NAME,Кофейня,,,,
Square (Fast Track),FT_SQ_26_DESC,Кофейня в центре города,,,,
Square (Fast Track),FT_SQ_27_NAME,Аудит,,,,
Square (Fast Track),FT_SQ_27_DESC,Налоговая проверка. Вы теряете 50% наличных.,,,,
Square (Fast Track),FT_SQ_28_NAME,Центр здоровья и спа,,,,
Square (Fast Track),FT_SQ_28_DESC,Элитный спа-комплекс.,,,,
Square (Fast Track),FT_SQ_29_NAME,Посетить Антарктиду,,,,
Square (Fast Track),FT_SQ_29_DESC,Экспедиция к Южному полюсу.,,,,
Square (Fast Track),FT_SQ_30_NAME,Мобильное приложение,,,,
Square (Fast Track),FT_SQ_30_DESC,Сервис по подписке,,,,
Square (Fast Track),FT_SQ_31_NAME,Благотворительность,,,,
Square (Fast Track),FT_SQ_31_DESC,Пожертвуйте 10% от общего дохода,,,,
Square (Fast Track),FT_SQ_32_NAME,Агентство маркетинга,,,,
Square (Fast Track),FT_SQ_32_DESC,Агентство цифрового маркетинга,,,,
Square (Fast Track),FT_SQ_33_NAME,Кража,,,,
Square (Fast Track),FT_SQ_33_DESC,Вас обокрали! Вы теряете 100% наличных.,,,,
Square (Fast Track),FT_SQ_34_NAME,Мини-отель,,,,
Square (Fast Track),FT_SQ_34_DESC,Бутик-гостиница,,,,
Square (Fast Track),FT_SQ_35_NAME,CASHFLOW Day,,,,
Square (Fast Track),FT_SQ_35_DESC,Вам выплачивается доход от ваших инвестиций,,,,
Square (Fast Track),FT_SQ_36_NAME,Ресторан,,,,
Square (Fast Track),FT_SQ_36_DESC,Франшиза популярного ресторана,,,,
Square (Fast Track),FT_SQ_37_NAME,Высочайшие вершины,,,,
Square (Fast Track),FT_SQ_37_DESC,Подняться на все высочайшие вершины мира,,,,
Square (Fast Track),FT_SQ_38_NAME,Мини-отель,,,,
Square (Fast Track),FT_SQ_38_DESC,Бутик-гостиница,,,,
Square (Fast Track),FT_SQ_39_NAME,Автор бестселлера,,,,
Square (Fast Track),FT_SQ_39_DESC,Стать автором книги-бестселлера,,,,
Square (Fast Track),FT_SQ_40_NAME,Йога-центр,,,,
Square (Fast Track),FT_SQ_40_DESC,Йога- и медитационный центр,,,,
Square (Fast Track),FT_SQ_41_NAME,Развод,,,,
Square (Fast Track),FT_SQ_41_DESC,Раздел имущества. Вы теряете 50% наличных.,,,,
Square (Fast Track),FT_SQ_42_NAME,Автомойки,,,,
Square (Fast Track),FT_SQ_42_DESC,Сеть автомоек самообслуживания,,,,
Square (Fast Track),FT_SQ_43_NAME,Яхта в Средиземном,,,,
Square (Fast Track),FT_SQ_43_DESC,Жить год на яхте в Средиземном море,,,,
Square (Fast Track),FT_SQ_44_NAME,Салон красоты,,,,
Square (Fast Track),FT_SQ_44_DESC,Салон красоты / Барбершоп,,,,
Square (Fast Track),FT_SQ_45_NAME,Мировой фестиваль,,,,
Square (Fast Track),FT_SQ_45_DESC,Организовать мировой фестиваль,,,,
Square (Fast Track),FT_SQ_46_NAME,Пожар,,,,
Square (Fast Track),FT_SQ_46_DESC,Вы теряете бизнес с минимальным доходом.,,,,
Square (Fast Track),FT_SQ_47_NAME,Онлайн-магазин,,,,
Square (Fast Track),FT_SQ_47_DESC,Онлайн-магазин одежды,,,,
Square (Fast Track),FT_SQ_48_NAME,CASHFLOW Day,,,,
Square (Fast Track),FT_SQ_48_DESC,Вам выплачивается доход от ваших инвестиций,,,,
Square (Fast Track),FT_SQ_49_NAME,Фонд талантов,,,,
Square (Fast Track),FT_SQ_49_DESC,Создать фонд поддержки талантов,,,,
Square (Fast Track),FT_SQ_50_NAME,Ретрит-центр,,,,
Square (Fast Track),FT_SQ_50_DESC,Построить ретрит-центр,,,,
Square (Fast Track),FT_SQ_51_NAME,Кругосветка,,,,
Square (Fast Track),FT_SQ_51_DESC,Кругосветное плавание на паруснике,,,,
Square (Fast Track),FT_SQ_52_NAME,Эко-ранчо,,,,
Square (Fast Track),FT_SQ_52_DESC,Туристический комплекс (эко-ранчо),,,,
Square (Fast Track),FT_SQ_53_NAME,Кругосветка (Люкс),,,,
Square (Fast Track),FT_SQ_53_DESC,Кругосветное плавание на паруснике (Premium),,,,
Square (Fast Track),FT_SQ_54_NAME,Биржа,,,,
Square (Fast Track),FT_SQ_54_DESC,"Бросьте кубик. Если выпадет 5 или 6, вы получите $500,000.",,,,
Square (Fast Track),FT_SQ_55_NAME,Частный самолёт,,,,
Square (Fast Track),FT_SQ_55_DESC,Купить частный самолёт,,,,
Square (Fast Track),FT_SQ_56_NAME,NFT-платформа,,,,
Square (Fast Track),FT_SQ_56_DESC,Платформа для торговли цифровым искусством.,,,,
Square (Fast Track),FT_SQ_57_NAME,CASHFLOW Day,,,,
Square (Fast Track),FT_SQ_57_DESC,Вам выплачивается доход от ваших инвестиций,,,,
Square (Fast Track),FT_SQ_58_NAME,Школа языков,,,,
Square (Fast Track),FT_SQ_58_DESC,Школа иностранных языков,,,,
Square (Fast Track),FT_SQ_59_NAME,Коллекция суперкаров,,,,
Square (Fast Track),FT_SQ_59_DESC,Гараж с редкими автомобилями.,,,,
